month,weekday,hour,avg_trip_count
4,3,1,170
4,3,2,10
4,3,3,2
4,3,4,14
4,3,5,1620
4,3,6,5796
4,3,7,11396
4,3,8,14646
4,3,9,9922
4,3,10,6076
4,3,11,4938
4,3,12,4797
4,3,13,5034
4,3,14,6124
4,3,15,8154
4,3,16,11417
4,3,17,16108
4,3,18,12164
4,3,19,6783
4,3,20,4115
4,3,21,2592
4,3,22,2585
4,3,23,1902
4,4,0,811
4,4,1,168
4,4,2,16
4,4,3,2
4,4,4,14
4,4,5,1517
4,4,6,4911
4,4,7,9180
4,4,8,10655
4,4,9,7429
4,4,10,5636
4,4,11,5281
4,4,12,5213
4,4,13,5591
4,4,14,6398
4,4,15,8227
4,4,16,10647
4,4,17,13358
4,4,18,11454
4,4,19,7072
4,4,20,4200
4,4,21,2891
4,4,22,2917
4,4,23,2803
4,5,0,1771
4,5,1,406
4,5,2,24
4,5,3,1
4,5,4,1
4,5,5,12
4,5,6,749
4,5,7,2094
4,5,8,3114
4,5,9,3892
4,5,10,4545
4,5,11,5524
4,5,12,5760
4,5,13,5505
4,5,14,5422
4,5,15,5543
4,5,16,6205
4,5,17,6614
4,5,18,6048
4,5,19,4752
4,5,20,3476
4,5,21,3099
4,5,22,2497
4,5,23,2053
4,6,0,1075
4,6,1,275
4,6,2,16
4,6,3,2
4,6,4,0
4,6,5,1
4,6,6,7
4,6,7,349
4,6,8,2178
4,6,9,2745
4,6,10,3515
4,6,11,4186
4,6,12,4330
4,6,13,4312
4,6,14,4067
4,6,15,3936
4,6,16,4386
4,6,17,4688
4,6,18,4164
4,6,19,3269
4,6,20,2388
4,6,21,1922
4,6,22,1542
4,6,23,924
5,0,0,628
5,0,1,121
5,0,2,10
5,0,3,2
5,0,4,14
5,0,5,1322
5,0,6,4444
5,0,7,9171
5,0,8,11166
5,0,9,7134
5,0,10,4925
5,0,11,4426
5,0,12,4421
5,0,13,4684
5,0,14,5214
5,0,15,6891
5,0,16,9715
5,0,17,12583
5,0,18,9099
5,0,19,5139
5,0,20,3212
5,0,21,2411
5,0,22,2106
5,0,23,1498
5,1,0,576
5,1,1,121
5,1,2,8
5,1,3,2
5,1,4,18
5,1,5,1879
5,1,6,6298
5,1,7,12866
5,1,8,15768
5,1,9,10296
5,1,10,5703
5,1,11,4809
5,1,12,4651
5,1,13,4947
5,1,14,5976
5,1,15,8050
5,1,16,12356
5,1,17,16864
5,1,18,12944
5,1,19,6764
5,1,20,3903
5,1,21,2802
5,1,22,2672
5,1,23,2021
5,2,0,816
5,2,1,134
5,2,2,14
5,2,3,2
5,2,4,30
5,2,5,1674
5,2,6,6312
5,2,7,12880
5,2,8,15653
5,2,9,10294
5,2,10,6264
5,2,11,5662
5,2,12,5300
5,2,13,5256
5,2,14,6250
5,2,15,8821
5,2,16,12655
5,2,17,16952
5,2,18,12646
5,2,19,6779
5,2,20,4040
5,2,21,3037
5,2,22,2369
5,2,23,1637
5,3,0,716
5,3,1,160
5,3,2,17
5,3,3,2
5,3,4,17
5,3,5,1856
5,3,6,5926
5,3,7,12304
5,3,8,14916
5,3,9,10032
5,3,10,6165
5,3,11,5050
5,3,12,4889
5,3,13,5328
5,3,14,6298
5,3,15,8424
5,3,16,12288
5,3,17,16193
5,3,18,12885
5,3,19,6979
5,3,20,4314
5,3,21,3226
5,3,22,3004
5,3,23,2114
5,4,0,1206
5,4,1,182
5,4,2,8
5,4,3,2
5,4,4,12
5,4,5,1606
5,4,6,5086
5,4,7,9681
5,4,8,10976
5,4,9,7458
5,4,10,5668
5,4,11,5032
5,4,12,5099
5,4,13,5700
5,4,14,6613
5,4,15,8185
5,4,16,11091
5,4,17,13537
5,4,18,11939
5,4,19,7354
5,4,20,4336
5,4,21,3405
5,4,22,3433
5,4,23,3336
5,5,0,2471
5,5,1,373
5,5,2,24
5,5,3,1
5,5,4,1
5,5,5,14
5,5,6,828
5,5,7,2301
5,5,8,3382
5,5,9,4054
5,5,10,4823
5,5,11,5893
5,5,12,6132
5,5,13,6311
5,5,14,6017
5,5,15,5669
5,5,16,6386
5,5,17,6880
5,5,18,6113
5,5,19,4941
5,5,20,3614
5,5,21,3462
5,5,22,2832
5,5,23,2091
5,6,0,1079
5,6,1,297
5,6,2,22
5,6,3,2
5,6,4,2
5,6,5,2
5,6,6,15
5,6,7,596
5,6,8,2802
5,6,9,3168
5,6,10,4128
5,6,11,4709
5,6,12,5277
5,6,13,4856
5,6,14,4529
5,6,15,4357
5,6,16,4721
5,6,17,5494
5,6,18,4890
5,6,19,3792
5,6,20,2601
5,6,21,2235
5,6,22,1672
5,6,23,1509
6,0,0,642
6,0,1,149
6,0,2,7
6,0,3,4
6,0,4,20
6,0,5,1642
6,0,6,5418
6,0,7,10244
6,0,8,13216
6,0,9,10234
6,0,10,8540
6,0,11,7849
6,0,12,5980
6,0,13,6565
6,0,14,8708
6,0,15,9891
6,0,16,11662
6,0,17,14309
6,0,18,10988
6,0,19,5980
6,0,20,3482
6,0,21,2742
6,0,22,2433
6,0,23,1472
6,1,0,646
6,1,1,144
6,1,2,6
6,1,3,2
6,1,4,22
6,1,5,1970
6,1,6,6496
6,1,7,12627
6,1,8,16216
6,1,9,10182
6,1,10,5994
6,1,11,4842
6,1,12,4840
6,1,13,5086
6,1,14,5914
6,1,15,8035
6,1,16,11677
6,1,17,17398
6,1,18,13442
6,1,19,7226
6,1,20,4155
6,1,21,2840
6,1,22,3024
6,1,23,2244
6,2,0,717
6,2,1,163
6,2,2,12
6,2,3,2
6,2,4,14
6,2,5,1910
6,2,6,6328
6,2,7,12305
6,2,8,15774
6,2,9,10107
6,2,10,6165
6,2,11,5666
6,2,12,5420
6,2,13,5172
6,2,14,6105
6,2,15,7793
6,2,16,12717
6,2,17,17271
6,2,18,13433
6,2,19,7302
6,2,20,4216
6,2,21,2901
6,2,22,2885
6,2,23,1882
6,3,0,776
6,3,1,166
6,3,2,17
6,3,3,2
6,3,4,15
6,3,5,1305
6,3,6,5942
6,3,7,11505
6,3,8,15262
6,3,9,9810
6,3,10,6160
6,3,11,5434
6,3,12,5196
6,3,13,5367
6,3,14,6281
6,3,15,8254
6,3,16,11939
6,3,17,16856
6,3,18,13184
6,3,19,7199
6,3,20,4378
6,3,21,3294
6,3,22,3168
6,3,23,2333
6,4,0,940
6,4,1,203
6,4,2,16
6,4,3,1
6,4,4,12
6,4,5,1684
6,4,6,5271
6,4,7,9450
6,4,8,10782
6,4,9,7596
6,4,10,5583
6,4,11,5310
6,4,12,5261
6,4,13,5735
6,4,14,6782
6,4,15,8048
6,4,16,11257
6,4,17,14264
6,4,18,12056
6,4,19,7585
6,4,20,4709
6,4,21,3438
6,4,22,3446
6,4,23,3531
6,5,0,1636
6,5,1,340
6,5,2,29
6,5,3,1
6,5,4,2
6,5,5,19
6,5,6,911
6,5,7,2325
6,5,8,3476
6,5,9,4144
6,5,10,4846
6,5,11,5804
6,5,12,6654
6,5,13,5996
6,5,14,6378
6,5,15,6715
6,5,16,6818
6,5,17,7186
6,5,18,6185
6,5,19,5373
6,5,20,4015
6,5,21,3534
6,5,22,3107
6,5,23,2238
6,6,0,1141
6,6,1,318
6,6,2,18
6,6,3,2
6,6,4,2
6,6,5,2
6,6,6,10
6,6,7,431
6,6,8,2733
6,6,9,3959
6,6,10,5772
6,6,11,6448
6,6,12,6900
6,6,13,6470
6,6,14,6289
6,6,15,6270
6,6,16,6616
6,6,17,6769
6,6,18,5483
6,6,19,4637
6,6,20,3231
6,6,21,2689
6,6,22,2096
6,6,23,1303
7,0,0,541
7,0,1,133
7,0,2,14
7,0,3,2
7,0,4,16
7,0,5,1117
7,0,6,4079
7,0,7,8198
7,0,8,10402
7,0,9,6963
7,0,10,4705
7,0,11,4329
7,0,12,4417
7,0,13,4661
7,0,14,5084
7,0,15,6389
7,0,16,8572
7,0,17,11769
7,0,18,9810
7,0,19,5642
7,0,20,3467
7,0,21,2524
7,0,22,2460
7,0,23,2117
7,1,0,838
7,1,1,160
7,1,2,14
7,1,3,3
7,1,4,17
7,1,5,1778
7,1,6,6012
7,1,7,11689
7,1,8,15218
7,1,9,9781
7,1,10,6005
7,1,11,5096
7,1,12,4960
7,1,13,4985
7,1,14,5916
7,1,15,7670
7,1,16,11404
7,1,17,16804
7,1,18,13284
7,1,19,7176
7,1,20,4051
7,1,21,2700
7,1,22,2799
7,1,23,1914
7,2,0,1106
7,2,1,168
7,2,2,18
7,2,3,2
7,2,4,16
7,2,5,1832
7,2,6,6214
7,2,7,12005
7,2,8,14981
7,2,9,10252
7,2,10,6286
7,2,11,5646
7,2,12,5432
7,2,13,5217
7,2,14,6140
7,2,15,8157
7,2,16,11880
7,2,17,16852
7,2,18,13194
7,2,19,7337
7,2,20,4349
7,2,21,2996
7,2,22,2306
7,2,23,1657
7,3,0,758
7,3,1,168
7,3,2,12
7,3,3,2
7,3,4,18
7,3,5,1780
7,3,6,6011
7,3,7,11509
7,3,8,14476
7,3,9,10327
7,3,10,6204
7,3,11,5411
7,3,12,5266
7,3,13,5385
7,3,14,6111
7,3,15,8182
7,3,16,11692
7,3,17,16753
7,3,18,13127
7,3,19,7974
7,3,20,4586
7,3,21,3130
7,3,22,2834
7,3,23,2348
7,4,0,941
7,4,1,171
7,4,2,9
7,4,3,2
7,4,4,15
7,4,5,1567
7,4,6,4912
7,4,7,9049
7,4,8,10472
7,4,9,7221
7,4,10,5919
7,4,11,5319
7,4,12,5366
7,4,13,5773
7,4,14,6574
7,4,15,8016
7,4,16,10498
7,4,17,12952
7,4,18,11186
7,4,19,7099
7,4,20,4393
7,4,21,3051
7,4,22,2919
7,4,23,2261
7,5,0,1712
7,5,1,323
7,5,2,37
7,5,3,1
7,5,4,2
7,5,5,17
7,5,6,842
7,5,7,2184
7,5,8,3232
7,5,9,3926
7,5,10,4525
7,5,11,5735
7,5,12,5843
7,5,13,5831
7,5,14,5758
7,5,15,5906
7,5,16,6423
7,5,17,6596
7,5,18,6039
7,5,19,5023
7,5,20,3773
7,5,21,3232
7,5,22,2894
7,5,23,2142
7,6,0,1283
7,6,1,287
7,6,2,19
7,6,3,0
7,6,4,0
7,6,5,2
7,6,6,9
7,6,7,386
7,6,8,2488
7,6,9,3132
7,6,10,3892
7,6,11,4637
7,6,12,5184
7,6,13,4868
7,6,14,4623
7,6,15,4505
7,6,16,4927
7,6,17,5133
7,6,18,4638
7,6,19,3955
7,6,20,2974
7,6,21,2293
7,6,22,1908
7,6,23,1269
8,0,0,705
8,0,1,135
8,0,2,8
8,0,3,1
8,0,4,13
8,0,5,1681
8,0,6,5686
8,0,7,11300
8,0,8,13552
8,0,9,9101
8,0,10,5763
8,0,11,4931
8,0,12,4857
8,0,13,5108
8,0,14,5799
8,0,15,7678
8,0,16,11129
8,0,17,14928
8,0,18,11488
8,0,19,6406
8,0,20,3726
8,0,21,2492
8,0,22,2306
8,0,23,1528
8,1,0,758
8,1,1,143
8,1,2,13
8,1,3,1
8,1,4,17
8,1,5,1989
8,1,6,6385
8,1,7,12963
8,1,8,17090
8,1,9,11092
8,1,10,6463
8,1,11,5179
8,1,12,4916
8,1,13,5590
8,1,14,6219
8,1,15,8508
8,1,16,12469
8,1,17,18035
8,1,18,14687
8,1,19,7878
8,1,20,4482
8,1,21,2945
8,1,22,2802
8,1,23,2117
8,2,0,919
8,2,1,226
8,2,2,16
8,2,3,2
8,2,4,19
8,2,5,1972
8,2,6,6342
8,2,7,13009
8,2,8,16231
8,2,9,11550
8,2,10,6776
8,2,11,5813
8,2,12,5666
8,2,13,5424
8,2,14,6600
8,2,15,8865
8,2,16,12761
8,2,17,18361
8,2,18,14345
8,2,19,7956
8,2,20,4573
8,2,21,2926
8,2,22,2763
8,2,23,2277
8,3,0,900
8,3,1,187
8,3,2,17
8,3,3,2
8,3,4,14
8,3,5,1856
8,3,6,6122
8,3,7,12108
8,3,8,15948
8,3,9,11283
8,3,10,6805
8,3,11,6032
8,3,12,5750
8,3,13,5594
8,3,14,6412
8,3,15,8684
8,3,16,12932
8,3,17,17731
8,3,18,14330
8,3,19,8286
8,3,20,4944
8,3,21,3174
8,3,22,2788
8,3,23,2172
8,4,0,1030
8,4,1,166
8,4,2,25
8,4,3,2
8,4,4,14
8,4,5,1651
8,4,6,5196
8,4,7,9724
8,4,8,11434
8,4,9,8114
8,4,10,5958
8,4,11,5696
8,4,12,5766
8,4,13,6205
8,4,14,6957
8,4,15,8724
8,4,16,11514
8,4,17,14448
8,4,18,12124
8,4,19,7416
8,4,20,4692
8,4,21,3404
8,4,22,3424
8,4,23,2887
8,5,0,1892
8,5,1,365
8,5,2,43
8,5,3,2
8,5,4,2
8,5,5,18
8,5,6,849
8,5,7,2319
8,5,8,3448
8,5,9,4291
8,5,10,5036
8,5,11,5782
8,5,12,6161
8,5,13,6330
8,5,14,6940
8,5,15,7144
8,5,16,7237
8,5,17,7238
8,5,18,6729
8,5,19,5578
8,5,20,4812
8,5,21,3516
8,5,22,3228
8,5,23,2598
8,6,0,1376
8,6,1,360
8,6,2,23
8,6,3,1
8,6,4,1
8,6,5,2
8,6,6,10
8,6,7,392
8,6,8,2469
8,6,9,3084
8,6,10,3844
8,6,11,4940
8,6,12,6055
8,6,13,5800
8,6,14,4915
8,6,15,4692
8,6,16,5267
8,6,17,6399
8,6,18,5348
8,6,19,3561
8,6,20,3118
8,6,21,2050
8,6,22,2013
8,6,23,1936
9,0,0,947
9,0,1,177
9,0,2,18
9,0,3,2
9,0,4,24
9,0,5,1430
9,0,6,4468
9,0,7,9391
9,0,8,12991
9,0,9,8876
9,0,10,5893
9,0,11,5273
9,0,12,5259
9,0,13,5634
9,0,14,5988
9,0,15,7697
9,0,16,10508
9,0,17,13994
9,0,18,10993
9,0,19,6338
9,0,20,3803
9,0,21,2617
9,0,22,2190
9,0,23,1602
9,1,0,727
9,1,1,193
9,1,2,10
9,1,3,1
9,1,4,33
9,1,5,2088
9,1,6,6826
9,1,7,14838
9,1,8,19216
9,1,9,13690
9,1,10,7541
9,1,11,5764
9,1,12,5628
9,1,13,5826
9,1,14,6812
9,1,15,9463
9,1,16,14148
9,1,17,20142
9,1,18,15845
9,1,19,8490
9,1,20,4994
9,1,21,2966
9,1,22,3450
9,1,23,2168
9,2,0,898
9,2,1,199
9,2,2,24
9,2,3,3
9,2,4,26
9,2,5,1920
9,2,6,6768
9,2,7,14387
9,2,8,19818
9,2,9,13285
9,2,10,7714
9,2,11,6348
9,2,12,6428
9,2,13,6235
9,2,14,7271
9,2,15,10012
9,2,16,15011
9,2,17,20686
9,2,18,16472
9,2,19,9207
9,2,20,5149
9,2,21,3250
9,2,22,3187
9,2,23,2479
9,3,0,1753
9,3,1,576
9,3,2,73
9,3,3,3
9,3,4,30
9,3,5,2045
9,3,6,6414
9,3,7,13730
9,3,8,19048
9,3,9,12800
9,3,10,7520
9,3,11,6182
9,3,12,6049
9,3,13,6140
9,3,14,7148
9,3,15,9789
9,3,16,14562
9,3,17,19701
9,3,18,15709
9,3,19,9333
9,3,20,5289
9,3,21,3495
9,3,22,3306
9,3,23,2979
9,4,0,1431
9,4,1,273
9,4,2,17
9,4,3,4
9,4,4,25
9,4,5,1678
9,4,6,5709
9,4,7,10136
9,4,8,12793
9,4,9,9280
9,4,10,6682
9,4,11,5950
9,4,12,5857
9,4,13,6596
9,4,14,7342
9,4,15,9447
9,4,16,11770
9,4,17,14394
9,4,18,14034
9,4,19,8870
9,4,20,5265
9,4,21,3534
9,4,22,3574
9,4,23,3587
9,5,0,1853
9,5,1,411
9,5,2,26
9,5,3,2
9,5,4,0
9,5,5,18
9,5,6,1006
9,5,7,2609
9,5,8,3847
9,5,9,4649
9,5,10,5744
9,5,11,6877
9,5,12,7587
9,5,13,7084
9,5,14,6927
9,5,15,6801
9,5,16,7958
9,5,17,8527
9,5,18,7505
9,5,19,5932
9,5,20,4165
9,5,21,3340
9,5,22,3139
9,5,23,2562
9,6,0,1528
9,6,1,455
9,6,2,24
9,6,3,0
9,6,4,2
9,6,5,2
9,6,6,6
9,6,7,412
9,6,8,2545
9,6,9,3459
9,6,10,4210
9,6,11,5062
9,6,12,5572
9,6,13,5452
9,6,14,5369
9,6,15,5102
9,6,16,5694
9,6,17,6198
9,6,18,5614
9,6,19,4227
9,6,20,3004
9,6,21,2564
9,6,22,2166
9,6,23,1661
10,0,0,630
10,0,1,138
10,0,2,8
10,0,3,18
10,0,4,35
10,0,5,1760
10,0,6,5701
10,0,7,11482
10,0,8,14804
10,0,9,9980
10,0,10,6192
10,0,11,5170
10,0,12,5380
10,0,13,5607
10,0,14,6209
10,0,15,8483
10,0,16,12243
10,0,17,15650
10,0,18,11950
10,0,19,6413
10,0,20,3585
10,0,21,2383
10,0,22,2126
10,0,23,1563
10,1,0,732
10,1,1,174
10,1,2,20
10,1,3,3
10,1,4,33
10,1,5,2118
10,1,6,6774
10,1,7,14185
10,1,8,20353
10,1,9,13653
10,1,10,7355
10,1,11,5545
10,1,12,5771
10,1,13,5883
10,1,14,6867
10,1,15,9600
10,1,16,14619
10,1,17,20367
10,1,18,16549
10,1,19,8480
10,1,20,4476
10,1,21,2870
10,1,22,2965
10,1,23,2508
10,2,0,972
10,2,1,186
10,2,2,23
10,2,3,4
10,2,4,27
10,2,5,2081
10,2,6,6902
10,2,7,14360
10,2,8,19378
10,2,9,13214
10,2,10,7410
10,2,11,6188
10,2,12,6281
10,2,13,6108
10,2,14,7175
10,2,15,9759
10,2,16,15174
10,2,17,20199
10,2,18,15983
10,2,19,8507
10,2,20,4670
10,2,21,2956
10,2,22,2691
10,2,23,2412
10,3,0,1332
10,3,1,227
10,3,2,18
10,3,3,4
10,3,4,28
10,3,5,2030
