month,day,hour,trip_count
1,22,11,3934
1,22,12,4213
1,22,13,4107
1,22,14,4271
1,22,15,4622
1,22,16,4895
1,22,17,4758
1,22,18,4018
1,22,19,2799
1,22,20,2014
1,22,21,1904
1,22,22,1581
1,22,23,997
1,23,0,537
1,23,1,155
1,23,2,2
1,23,3,0
1,23,4,0
1,23,5,0
1,23,6,5
1,23,7,286
1,23,8,1541
1,23,9,2027
1,23,10,2417
1,23,11,2797
1,23,12,3008
1,23,13,2927
1,23,14,2969
1,23,15,3184
1,23,16,3421
1,23,17,3252
1,23,18,2987
1,23,19,2253
1,23,20,1741
1,23,21,1579
1,23,22,750
1,23,23,29
1,24,0,0
1,24,1,1
1,24,2,1
1,24,3,1
1,24,4,16
1,24,5,1467
1,24,6,4448
1,24,7,8257
1,24,8,8803
1,24,9,5554
1,24,10,3550
1,24,11,3176
1,24,12,3067
1,24,13,3504
1,24,14,4107
1,24,15,5818
1,24,16,8013
1,24,17,9980
1,24,18,7210
1,24,19,3658
1,24,20,1925
1,24,21,1323
1,24,22,1064
1,24,23,834
1,25,0,341
1,25,1,89
1,25,2,0
1,25,3,6
1,25,4,12
1,25,5,1634
1,25,6,4815
1,25,7,8862
1,25,8,9541
1,25,9,5642
1,25,10,3628
1,25,11,3104
1,25,12,3204
1,25,13,3484
1,25,14,4406
1,25,15,5996
1,25,16,8563
1,25,17,11078
1,25,18,8083
1,25,19,3914
1,25,20,2070
1,25,21,1622
1,25,22,1761
1,25,23,1086
1,26,0,386
1,26,1,87
1,26,2,3
1,26,3,1
1,26,4,15
1,26,5,1594
1,26,6,4711
1,26,7,8659
1,26,8,9569
1,26,9,5798
1,26,10,3855
1,26,11,3472
1,26,12,3447
1,26,13,3769
1,26,14,4545
1,26,15,6500
1,26,16,8548
1,26,17,10536
1,26,18,8118
1,26,19,4029
1,26,20,2278
1,26,21,1628
1,26,22,1386
1,26,23,912
1,27,0,436
1,27,1,86
1,27,2,0
1,27,3,3
1,27,4,16
1,27,5,1591
1,27,6,4698
1,27,7,8614
1,27,8,9484
1,27,9,5810
1,27,10,4046
1,27,11,3407
1,27,12,3340
1,27,13,3711
1,27,14,4558
1,27,15,6477
1,27,16,8559
1,27,17,10960
1,27,18,8187
1,27,19,4664
1,27,20,2584
1,27,21,1813
1,27,22,2072
1,27,23,1400
1,28,0,430
1,28,1,106
1,28,2,4
1,28,3,3
1,28,4,10
1,28,5,1469
1,28,6,4339
1,28,7,7822
1,28,8,8349
1,28,9,5674
1,28,10,4042
1,28,11,3696
1,28,12,3883
1,28,13,4030
1,28,14,4949
1,28,15,5905
1,28,16,7619
1,28,17,11086
1,28,18,8059
1,28,19,4472
1,28,20,2639
1,28,21,1958
1,28,22,1645
1,28,23,929
1,29,0,877
1,29,1,119
1,29,2,32
1,29,3,0
1,29,4,0
1,29,5,11
1,29,6,725
1,29,7,1631
1,29,8,2593
1,29,9,2992
1,29,10,3315
1,29,11,3800
1,29,12,4229
1,29,13,4359
1,29,14,4562
1,29,15,4711
1,29,16,4795
1,29,17,4754
1,29,18,4354
1,29,19,3340
1,29,20,2112
1,29,21,2306
1,29,22,1710
1,29,23,1225
1,30,0,658
1,30,1,153
1,30,2,7
1,30,3,0
1,30,4,0
1,30,5,0
1,30,6,4
1,30,7,225
1,30,8,1688
1,30,9,2110
1,30,10,2494
1,30,11,2817
1,30,12,3076
1,30,13,3126
1,30,14,3353
1,30,15,3316
1,30,16,3089
1,30,17,3204
1,30,18,2995
1,30,19,2436
1,30,20,1844
1,30,21,1301
1,30,22,636
1,30,23,75
1,31,0,0
1,31,1,0
1,31,2,0
1,31,3,1
1,31,4,9
1,31,5,1404
1,31,6,4158
1,31,7,8041
1,31,8,8487
1,31,9,5910
1,31,10,3830
1,31,11,3181
1,31,12,3559
1,31,13,3572
1,31,14,4488
1,31,15,5830
1,31,16,7907
1,31,17,9901
1,31,18,7326
1,31,19,3541
1,31,20,1968
1,31,21,1442
1,31,22,1012
1,31,23,740
2,1,0,390
2,1,1,71
2,1,2,4
2,1,3,1
2,1,4,18
2,1,5,1537
2,1,6,4755
2,1,7,8719
2,1,8,9403
2,1,9,6285
2,1,10,4061
2,1,11,3429
2,1,12,3385
2,1,13,3844
2,1,14,4321
2,1,15,6432
2,1,16,8473
2,1,17,10535
2,1,18,8624
2,1,19,4515
2,1,20,2381
2,1,21,1617
2,1,22,1340
2,1,23,990
2,2,0,466
2,2,1,75
2,2,2,1
2,2,3,1
2,2,4,8
2,2,5,1649
2,2,6,4838
2,2,7,9131
2,2,8,10322
2,2,9,6458
2,2,10,4233
2,2,11,3049
2,2,12,3882
2,2,13,4148
2,2,14,4775
2,2,15,6791
2,2,16,8945
2,2,17,11355
2,2,18,8714
2,2,19,4565
2,2,20,2408
2,2,21,1861
2,2,22,1408
2,2,23,1166
2,3,0,444
2,3,1,78
2,3,2,8
2,3,3,0
2,3,4,6
2,3,5,1612
2,3,6,4646
2,3,7,9238
2,3,8,10320
2,3,9,6623
2,3,10,4348
2,3,11,3611
2,3,12,3906
2,3,13,4077
2,3,14,4860
2,3,15,6855
2,3,16,9399
2,3,17,11777
2,3,18,8736
2,3,19,5220
2,3,20,2511
2,3,21,1982
2,3,22,2313
2,3,23,1300
2,4,0,506
2,4,1,94
2,4,2,1
2,4,3,1
2,4,4,12
2,4,5,1503
2,4,6,4381
2,4,7,8029
2,4,8,9025
2,4,9,5877
2,4,10,4273
2,4,11,3894
2,4,12,4087
2,4,13,4375
2,4,14,5272
2,4,15,7041
2,4,16,9263
2,4,17,11167
2,4,18,8875
2,4,19,5358
2,4,20,2957
2,4,21,2380
2,4,22,2065
2,4,23,1717
2,5,0,985
2,5,1,245
2,5,2,9
2,5,3,1
2,5,4,0
2,5,5,9
2,5,6,750
2,5,7,1772
2,5,8,2712
2,5,9,3315
2,5,10,3697
2,5,11,4380
2,5,12,4597
2,5,13,4335
2,5,14,4746
2,5,15,4804
2,5,16,4999
2,5,17,5450
2,5,18,4855
2,5,19,3653
2,5,20,2430
2,5,21,1979
2,5,22,1755
2,5,23,1599
2,6,0,755
2,6,1,204
2,6,2,6
2,6,3,3
2,6,4,0
2,6,5,0
2,6,6,4
2,6,7,199
2,6,8,1598
2,6,9,2303
2,6,10,2681
2,6,11,3048
2,6,12,3388
2,6,13,3606
2,6,14,3249
2,6,15,3318
2,6,16,2738
2,6,17,4333
2,6,18,3541
2,6,19,2567
2,6,20,1745
2,6,21,1363
2,6,22,665
2,6,23,47
2,7,0,1
2,7,1,2
2,7,2,0
2,7,3,0
2,7,4,13
2,7,5,1454
2,7,6,4671
2,7,7,8897
2,7,8,10012
2,7,9,6254
2,7,10,4119
2,7,11,3532
2,7,12,3569
2,7,13,3886
2,7,14,4542
2,7,15,6346
2,7,16,8486
2,7,17,10439
2,7,18,8508
2,7,19,4301
2,7,20,2273
2,7,21,1425
2,7,22,1229
2,7,23,702
2,8,0,385
2,8,1,55
2,8,2,3
2,8,3,1
2,8,4,12
2,8,5,1608
2,8,6,5168
2,8,7,9630
2,8,8,10887
2,8,9,6713
2,8,10,4248
2,8,11,3528
2,8,12,3825
2,8,13,3946
2,8,14,4716
2,8,15,6563
2,8,16,9146
2,8,17,11980
2,8,18,9181
2,8,19,4746
2,8,20,2471
2,8,21,1797
2,8,22,1448
2,8,23,1042
2,9,0,347
2,9,1,172
2,9,2,31
2,9,3,45
2,9,4,8
2,9,5,1607
2,9,6,5151
2,9,7,9590
2,9,8,11150
2,9,9,6855
2,9,10,4404
2,9,11,3766
2,9,12,3841
2,9,13,4233
2,9,14,4884
2,9,15,6783
2,9,16,9139
2,9,17,11815
2,9,18,9201
2,9,19,4774
2,9,20,2563
2,9,21,1728
2,9,22,1578
2,9,23,1011
2,10,0,505
2,10,1,97
2,10,2,2
2,10,3,0
2,10,4,16
2,10,5,1495
2,10,6,5226
2,10,7,9605
2,10,8,10997
2,10,9,6820
2,10,10,4607
2,10,11,3856
2,10,12,3905
2,10,13,4247
2,10,14,5137
2,10,15,7080
2,10,16,9364
2,10,17,12404
2,10,18,9845
2,10,19,5572
2,10,20,2902
2,10,21,1907
2,10,22,1820
2,10,23,1610
2,11,0,853
2,11,1,142
2,11,2,4
2,11,3,0
2,11,4,11
2,11,5,1491
2,11,6,4621
2,11,7,8209
2,11,8,9555
2,11,9,6214
2,11,10,4440
2,11,11,4184
2,11,12,4125
2,11,13,4449
2,11,14,5547
2,11,15,7271
2,11,16,9147
2,11,17,11103
2,11,18,8937
2,11,19,5590
2,11,20,3366
2,11,21,2271
2,11,22,1814
2,11,23,1705
2,12,0,1046
2,12,1,288
2,12,2,7
2,12,3,0
2,12,4,2
2,12,5,13
2,12,6,696
2,12,7,1940
2,12,8,2846
2,12,9,3511
2,12,10,4131
2,12,11,4750
2,12,12,5109
2,12,13,5110
2,12,14,4988
2,12,15,4998
2,12,16,5587
2,12,17,5691
2,12,18,4934
2,12,19,3889
2,12,20,2432
2,12,21,2416
2,12,22,2351
2,12,23,1467
2,13,0,860
2,13,1,194
2,13,2,4
2,13,3,0
2,13,4,0
2,13,5,0
2,13,6,7
2,13,7,367
2,13,8,1803
2,13,9,2204
2,13,10,2643
2,13,11,2982
2,13,12,3393
2,13,13,3457
2,13,14,3410
2,13,15,3705
2,13,16,3228
2,13,17,3288
2,13,18,2970
2,13,19,2459
2,13,20,2200
2,13,21,1639
2,13,22,654
2,13,23,35
2,14,0,0
2,14,1,2
2,14,2,1
2,14,3,0
2,14,4,19
2,14,5,1427
2,14,6,4627
2,14,7,8943
2,14,8,10231
2,14,9,6676
2,14,10,4244
2,14,11,3868
2,14,12,3933
2,14,13,4241
2,14,14,5139
2,14,15,6667
2,14,16,9356
2,14,17,11002
2,14,18,9053
2,14,19,4454
2,14,20,2278
2,14,21,1557
2,14,22,1229
2,14,23,1039
2,15,0,598
2,15,1,110
2,15,2,6
2,15,3,0
2,15,4,6
2,15,5,1661
2,15,6,5183
2,15,7,10233
2,15,8,11955
2,15,9,7361
2,15,10,4875
2,15,11,3853
2,15,12,3947
2,15,13,4116
2,15,14,4893
2,15,15,7048
2,15,16,9672
2,15,17,12733
2,15,18,9562
2,15,19,5082
2,15,20,2655
2,15,21,1863
2,15,22,1369
2,15,23,983
2,16,0,413
2,16,1,101
2,16,2,1
2,16,3,1
2,16,4,8
2,16,5,1677
2,16,6,5217
2,16,7,10131
2,16,8,12194
2,16,9,7566
2,16,10,4781
2,16,11,4145
2,16,12,4295
2,16,13,4607
2,16,14,5355
2,16,15,7635
2,16,16,10050
2,16,17,13262
2,16,18,9894
2,16,19,5582
2,16,20,2927
2,16,21,2089
2,16,22,2003
2,16,23,1753
2,17,0,546
2,17,1,110
2,17,2,6
2,17,3,0
2,17,4,18
2,17,5,1750
2,17,6,5189
2,17,7,10078
2,17,8,11709
2,17,9,7770
2,17,10,5004
2,17,11,4127
2,17,12,4428
2,17,13,4716
2,17,14,5638
2,17,15,7370
2,17,16,10323
2,17,17,12376
2,17,18,10630
2,17,19,5668
2,17,20,3221
2,17,21,2096
2,17,22,1824
2,17,23,1398
2,18,0,536
2,18,1,139
2,18,2,5
2,18,3,0
2,18,4,9
2,18,5,1511
2,18,6,4319
2,18,7,8533
2,18,8,9514
2,18,9,6653
2,18,10,4886
2,18,11,4792
2,18,12,4679
2,18,13,5138
2,18,14,6086
2,18,15,7578
2,18,16,10194
2,18,17,12085
2,18,18,9926
2,18,19,5696
2,18,20,3072
2,18,21,2188
2,18,22,2208
2,18,23,3051
2,19,0,1282
2,19,1,220
2,19,2,10
2,19,3,0
2,19,4,0
2,19,5,7
2,19,6,705
2,19,7,2018
2,19,8,2981
2,19,9,3666
2,19,10,4206
2,19,11,5095
2,19,12,5398
2,19,13,5662
2,19,14,5739
2,19,15,6422
2,19,16,6991
2,19,17,6697
2,19,18,6969
2,19,19,6217
2,19,20,5021
2,19,21,3602
2,19,22,2635
2,19,23,2674
2,20,0,2219
2,20,1,188
2,20,2,8
2,20,3,1
2,20,4,1
2,20,5,0
2,20,6,8
2,20,7,345
2,20,8,2095
2,20,9,2684
2,20,10,3262
2,20,11,3999
2,20,12,3966
2,20,13,3903
2,20,14,3888
2,20,15,3767
2,20,16,4133
2,20,17,4195
2,20,18,3867
2,20,19,2884
2,20,20,1962
2,20,21,1568
2,20,22,1089
2,20,23,771
2,21,0,375
2,21,1,60
2,21,2,4
2,21,3,1
2,21,4,0
2,21,5,16
2,21,6,1243
2,21,7,3208
2,21,8,3998
2,21,9,3663
2,21,10,3898
2,21,11,3919
2,21,12,3918
2,21,13,3916
2,21,14,4243
2,21,15,4676
2,21,16,5489
2,21,17,5421
2,21,18,4797
2,21,19,3603
2,21,20,2124
2,21,21,1571
2,21,22,1249
2,21,23,798
2,22,0,409
2,22,1,82
2,22,2,13
2,22,3,2
2,22,4,11
2,22,5,1677
2,22,6,5007
2,22,7,9783
2,22,8,11956
2,22,9,7244
2,22,10,4943
2,22,11,4123
2,22,12,4120
2,22,13,4434
2,22,14,5204
2,22,15,6777
2,22,16,9667
2,22,17,12771
2,22,18,9583
2,22,19,5105
2,22,20,2647
2,22,21,1784
2,22,22,1412
2,22,23,1056
2,23,0,606
2,23,1,100
2,23,2,4
2,23,3,1
2,23,4,9
2,23,5,1663
2,23,6,4978
2,23,7,9758
2,23,8,12016
2,23,9,7748
2,23,10,4854
2,23,11,4141
2,23,12,4275
2,23,13,4718
2,23,14,5452
2,23,15,7228
2,23,16,9620
2,23,17,13198
2,23,18,9772
2,23,19,5430
2,23,20,2955
2,23,21,2036
2,23,22,1585
2,23,23,1226
2,24,0,613
2,24,1,126
2,24,2,11
2,24,3,1
2,24,4,12
2,24,5,1661
2,24,6,5156
2,24,7,9760
2,24,8,11964
2,24,9,7577
2,24,10,5197
2,24,11,4260
2,24,12,4461
2,24,13,4567
2,24,14,5493
2,24,15,7382
2,24,16,10211
2,24,17,13402
2,24,18,10273
2,24,19,5753
2,24,20,3094
2,24,21,2180
2,24,22,1862
2,24,23,1444
2,25,0,607
2,25,1,114
2,25,2,2
2,25,3,0
2,25,4,9
2,25,5,1554
2,25,6,4580
2,25,7,8119
2,25,8,10118
2,25,9,6622
2,25,10,5017
2,25,11,4272
2,25,12,4658
2,25,13,4871
2,25,14,5777
2,25,15,7425
2,25,16,9972
2,25,17,11964
2,25,18,9681
2,25,19,5695
2,25,20,3349
2,25,21,2299
2,25,22,2105
2,25,23,1723
2,26,0,1207
2,26,1,253
2,26,2,20
2,26,3,0
2,26,4,0
2,26,5,6
2,26,6,709
2,26,7,1904
2,26,8,2841
2,26,9,3522
2,26,10,4033
2,26,11,4431
2,26,12,4727
2,26,13,4442
2,26,14,5251
2,26,15,4971
2,26,16,5259
2,26,17,5385
2,26,18,5047
2,26,19,3854
2,26,20,2562
2,26,21,2401
2,26,22,1998
2,26,23,1512
2,27,0,686
2,27,1,219
2,27,2,8
2,27,3,0
2,27,4,1
2,27,5,0
2,27,6,5
2,27,7,415
2,27,8,2218
2,27,9,2576
2,27,10,3214
2,27,11,3722
2,27,12,4314
2,27,13,4461
2,27,14,4465
2,27,15,4379
2,27,16,4489
2,27,17,4272
2,27,18,4027
2,27,19,3274
2,27,20,2478
2,27,21,1737
2,27,22,1202
2,27,23,792
2,28,0,249
2,28,1,71
2,28,2,2
2,28,3,3
2,28,4,18
2,28,5,1355
2,28,6,4404
2,28,7,9263
2,28,8,11751
2,28,9,7470
2,28,10,4840
2,28,11,4051
2,28,12,4095
2,28,13,4170
2,28,14,5037
2,28,15,6896
2,28,16,9106
2,28,17,12179
2,28,18,9274
2,28,19,4795
2,28,20,2513
2,28,21,1621
2,28,22,1261
2,28,23,888
3,1,0,417
3,1,1,97
3,1,2,0
3,1,3,1
3,1,4,14
3,1,5,1757
3,1,6,5601
3,1,7,10882
3,1,8,13194
3,1,9,8115
3,1,10,4898
3,1,11,4127
3,1,12,4249
3,1,13,4318
3,1,14,5118
3,1,15,7571
3,1,16,10512
3,1,17,13565
3,1,18,9188
3,1,19,6149
3,1,20,3535
3,1,21,2143
3,1,22,1528
3,1,23,1175
3,2,0,616
3,2,1,103
3,2,2,1
3,2,3,1
3,2,4,15
3,2,5,1464
3,2,6,5604
3,2,7,10168
3,2,8,13000
3,2,9,9346
3,2,10,5252
3,2,11,4264
3,2,12,4336
3,2,13,4628
3,2,14,5617
3,2,15,7804
3,2,16,10635
3,2,17,14043
3,2,18,10550
3,2,19,5819
3,2,20,3104
3,2,21,2091
3,2,22,1852
3,2,23,1147
3,3,0,545
3,3,1,140
3,3,2,13
3,3,3,0
3,3,4,13
3,3,5,1814
3,3,6,5253
3,3,7,10766
3,3,8,12768
3,3,9,8150
3,3,10,5115
3,3,11,4422
3,3,12,4503
3,3,13,4679
3,3,14,5583
3,3,15,7425
3,3,16,10543
3,3,17,13527
3,3,18,11190
3,3,19,5916
3,3,20,3469
3,3,21,2273
3,3,22,1953
3,3,23,1552
3,4,0,665
3,4,1,118
3,4,2,13
3,4,3,2
3,4,4,12
3,4,5,1371
3,4,6,4502
3,4,7,8858
3,4,8,10199
3,4,9,6867
3,4,10,5634
3,4,11,4471
3,4,12,4432
3,4,13,5199
3,4,14,5935
3,4,15,7883
3,4,16,10346
3,4,17,11347
3,4,18,11143
3,4,19,6589
3,4,20,3403
3,4,21,2344
3,4,22,2299
3,4,23,2258
3,5,0,1025
3,5,1,210
3,5,2,55
3,5,3,2
3,5,4,1
3,5,5,16
3,5,6,705
3,5,7,2083
3,5,8,3132
3,5,9,3904
3,5,10,4064
3,5,11,4637
3,5,12,4973
3,5,13,5322
3,5,14,5101
3,5,15,5368
3,5,16,5798
3,5,17,5744
3,5,18,5236
3,5,19,4185
3,5,20,2800
3,5,21,2325
3,5,22,2018
3,5,23,1722
3,6,0,746
3,6,1,193
3,6,2,15
3,6,3,0
3,6,4,0
3,6,5,0
3,6,6,7
3,6,7,302
3,6,8,2319
3,6,9,2729
3,6,10,2726
3,6,11,3387
3,6,12,3937
3,6,13,3985
3,6,14,3582
3,6,15,4194
3,6,16,3943
3,6,17,4354
3,6,18,3758
3,6,19,2883
3,6,20,2189
3,6,21,1642
3,6,22,1268
3,6,23,717
3,7,0,318
3,7,1,69
3,7,2,3
3,7,3,1
3,7,4,14
3,7,5,1298
3,7,6,4684
3,7,7,9246
3,7,8,11135
3,7,9,7701
3,7,10,4865
3,7,11,3887
3,7,12,4044
3,7,13,4325
3,7,14,4796
3,7,15,6679
3,7,16,9017
3,7,17,12974
3,7,18,9639
3,7,19,5383
3,7,20,2722
3,7,21,1782
3,7,22,1402
3,7,23,1143
3,8,0,533
3,8,1,114
3,8,2,3
3,8,3,5
3,8,4,20
3,8,5,1745
3,8,6,5533
3,8,7,11551
3,8,8,14184
3,8,9,8426
3,8,10,5181
3,8,11,4392
3,8,12,4451
3,8,13,4597
